date,p_model,p_pin,psw_bet,y_bet,market_edge,winner_name,loser_name,surface,kelly_stake_pct
2024-01-01,0.9633150510003768,0.862864077669903,1.13,1,0.10045097333047381,Grigor Dimitrov,Rinky Hijikata,Hard,2.5
2024-01-01,0.9155588879355027,0.8284883720930233,1.18,1,0.08707051584247938,Holger Rune,James Duckworth,Hard,2.5
2024-01-01,0.9020087053991627,0.775,1.26,1,0.12700870539916265,Grigor Dimitrov,Jordan Thompson,Hard,2.5
2024-01-01,0.518961013103876,0.16954022988505735,5.78,0,0.34942078321881864,Andrey Rublev,Juncheng Shang,Hard,2.5
2024-01-01,0.8521628139205248,0.5960591133004925,1.64,1,0.2561037006200323,Emil Ruusuvuori,Pavel Kotov,Hard,2.5
2024-01-08,0.8221166219317929,0.3995098039215686,2.45,1,0.4226068180102243,Jiri Lehecka,Jack Draper,Hard,2.5
2024-01-08,0.8400899481573992,0.4770408163265307,2.05,1,0.3630491318308685,Jiri Lehecka,Nicolas Jarry,Hard,2.5
2024-01-08,0.8636847350478957,0.5089514066496165,1.92,0,0.3547333283982792,Alexander Bublik,Lorenzo Musetti,Hard,2.5
2024-01-08,0.8973663634575121,0.4668367346938776,2.09,1,0.4305296287636345,Jack Draper,Tommy Paul,Hard,2.5
2024-01-08,0.5607052200755609,0.3936430317848411,2.48,1,0.16706218829071978,Jiri Lehecka,Sebastian Korda,Hard,2.5
2024-01-08,0.845310971833866,0.669683257918552,1.46,1,0.17562771391531407,Jack Draper,Alexander Bublik,Hard,2.5
2024-01-08,0.569903595255227,0.25486381322957197,3.83,0,0.3150397820256551,Arthur Fils,Daniel Altmaier,Hard,2.5
2024-01-08,0.6456766361544137,0.5306122448979591,1.84,0,0.11506439125645462,Alejandro Tabilo,Taro Daniel,Hard,2.5
2024-01-15,0.9970539989343329,0.9385964912280702,1.05,1,0.05845750770626268,Casper Ruud,Albert Ramos-Vinolas,Hard,2.5
2024-01-15,0.9945203177858217,0.734,1.33,1,0.26052031778582174,Miomir Kecmanovic,Yosuke Watanuki,Hard,2.5
2024-01-15,0.9545325767306128,0.5280612244897959,1.85,1,0.4264713522408169,Lorenzo Sonego,Daniel Evans,Hard,2.5
2024-01-15,0.9923004380085273,0.8604651162790699,1.14,1,0.13183532172945744,Holger Rune,Yoshihito Nishioka,Hard,2.5
2024-01-15,0.9971714523274606,0.9083969465648856,1.08,1,0.08877450576257506,Zhizhen Zhang,Federico Coria,Hard,2.5
2024-01-15,0.5617904840211976,0.5115089514066495,1.91,0,0.05028153261454804,Arthur Cazaux,Laslo Djere,Hard,2.5
