tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,year,wl,ll,rnd,_yr,Tournament,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL,pin_prob_w,pin_prob_l,b365_prob_w,max_prob_w,avg_prob_w,odds_consensus_w,pin_log_odds,b365_log_odds
2004-451,Doha,Hard,32.0,250,O,2004-01-05,31.0,E140,,WC,Nicolas Escude,R,185.0,FRA,27.756,114.0,354.0,L360,,,Ivan Ljubicic,R,193.0,CRO,24.799,42.0,870.0,6-3 7-6(4),3,F,94.0,8.0,1.0,65.0,40.0,33.0,16.0,10.0,4.0,4.0,7.0,1.0,68.0,50.0,35.0,9.0,11.0,1.0,3.0,2004,escude,ljubicic,F,2004,Qatar Exxon Mobil Open,1.615,2.2,1.629,2.43,,,,,,,0.598669623059867,0.401330376940133,0.5766710353866317,,,,-0.3999249277325491,-0.3091224036896504
2004-451,Doha,Hard,32.0,250,O,2004-01-05,30.0,L360,,,Ivan Ljubicic,R,193.0,CRO,24.799,42.0,870.0,H336,7.0,,Tim Henman,R,185.0,GBR,29.331,15.0,1480.0,7-6(2) 3-6 7-6(5),3,SF,159.0,11.0,1.0,109.0,71.0,53.0,20.0,16.0,5.0,7.0,5.0,1.0,103.0,65.0,50.0,23.0,17.0,4.0,5.0,2004,ljubicic,henman,SF,2004,Qatar Exxon Mobil Open,2.75,1.4,2.8,1.488,,,,,,,0.3470149253731344,0.6529850746268657,0.3373493975903614,,,,0.6321864807702581,0.675128675057267
2004-451,Doha,Hard,32.0,250,O,2004-01-05,28.0,H336,7.0,,Tim Henman,R,185.0,GBR,29.331,15.0,1480.0,S545,,,Sargis Sargsian,R,180.0,ARM,30.59,39.0,958.0,6-3 6-1,3,QF,67.0,2.0,1.0,41.0,22.0,16.0,16.0,8.0,0.0,0.0,0.0,1.0,59.0,42.0,23.0,6.0,8.0,5.0,9.0,2004,henman,sargsian,QF,2004,Qatar Exxon Mobil Open,1.25,3.75,1.328,3.6,,,,,,,0.7305194805194805,0.2694805194805195,0.75,,,,-0.9972597944078222,-1.0986122886681098
2004-451,Doha,Hard,32.0,250,O,2004-01-05,27.0,L360,,,Ivan Ljubicic,R,193.0,CRO,24.799,42.0,870.0,G379,4.0,,Sebastien Grosjean,R,175.0,FRA,25.604,10.0,1610.0,6-3 5-7 6-4,3,QF,123.0,10.0,1.0,94.0,63.0,49.0,17.0,16.0,3.0,5.0,2.0,4.0,86.0,49.0,36.0,20.0,15.0,2.0,5.0,2004,ljubicic,grosjean,QF,2004,Qatar Exxon Mobil Open,2.5,1.5,2.48,1.602,,,,,,,0.39245467907888293,0.607545320921117,0.375,,,,0.4370057115307233,0.5108256237659907
2004-451,Doha,Hard,32.0,250,O,2004-01-05,26.0,E140,,WC,Nicolas Escude,R,185.0,FRA,27.756,114.0,354.0,L311,,,Hyung-Taik Lee,R,180.0,KOR,28.005,56.0,635.0,6-4 6-2,3,QF,70.0,4.0,3.0,50.0,33.0,24.0,11.0,9.0,0.0,1.0,1.0,1.0,48.0,29.0,20.0,7.0,9.0,0.0,4.0,2004,escude,lee,QF,2004,Qatar Exxon Mobil Open,1.444,2.625,1.5,2.78,,,,,,,0.6495327102803737,0.3504672897196262,0.6451216515114279,,,,-0.6169858195943811,-0.5976638555729527
2004-451,Doha,Hard,32.0,250,O,2004-01-05,25.0,C478,8.0,,Agustin Calleri,R,183.0,ARG,27.307,24.0,1185.0,B446,,,Jonas Bjorkman,R,183.0,SWE,31.786,30.0,1068.0,6-4 6-4,3,QF,99.0,6.0,0.0,62.0,42.0,31.0,11.0,10.0,1.0,2.0,6.0,1.0,74.0,48.0,33.0,9.0,10.0,5.0,8.0,2004,calleri,bjorkman,QF,2004,Qatar Exxon Mobil Open,2.375,1.533,2.43,1.621,,,,,,,0.4001481115773883,0.5998518884226117,0.3922722620266121,,,,0.40484801459891817,0.43777083759692753
2004-451,Doha,Hard,32.0,250,O,2004-01-05,29.0,E140,,WC,Nicolas Escude,R,185.0,FRA,27.756,114.0,354.0,C478,8.0,,Agustin Calleri,R,183.0,ARG,27.307,24.0,1185.0,6-2 6-3,3,SF,77.0,9.0,1.0,44.0,32.0,29.0,7.0,9.0,0.0,0.0,5.0,5.0,65.0,43.0,26.0,9.0,8.0,7.0,10.0,2004,escude,calleri,SF,2004,Qatar Exxon Mobil Open,1.571,2.25,1.641,2.4,,,,,,,0.5939123979213066,0.40608760207869343,0.5888510861031143,,,,-0.38016292524594597,-0.3592178569428447
2004-891,Chennai,Hard,32.0,250,O,2004-01-05,28.0,S675,2.0,,Paradorn Srichaphan,R,185.0,THA,24.561,11.0,1595.0,A511,,,Igor Andreev,R,185.0,RUS,20.479,88.0,417.0,6-3 7-6(2),3,QF,81.0,5.0,2.0,69.0,45.0,37.0,12.0,11.0,3.0,4.0,2.0,3.0,57.0,31.0,23.0,15.0,10.0,0.0,2.0,2004,srichaphan,andreev,QF,2004,TATA Open,1.25,3.75,1.263,4.2,,,,,,,0.7688083470620539,0.2311916529379462,0.75,,,,-1.2015946819209689,-1.0986122886681098
2004-891,Chennai,Hard,32.0,250,O,2004-01-05,30.0,S675,2.0,,Paradorn Srichaphan,R,185.0,THA,24.561,11.0,1595.0,R419,4.0,,Tommy Robredo,R,180.0,ESP,21.681,21.0,1295.0,1-6 7-6(10) 7-5,3,SF,133.0,4.0,3.0,98.0,62.0,49.0,20.0,15.0,8.0,10.0,5.0,2.0,107.0,60.0,48.0,27.0,16.0,4.0,5.0,2004,srichaphan,robredo,SF,2004,TATA Open,1.4,2.75,1.526,2.7,,,,,,,0.6389020350212968,0.36109796497870333,0.6626506024096386,,,,-0.5706018401480183,-0.6751286750572671
2004-891,Chennai,Hard,32.0,250,O,2004-01-05,29.0,M605,1.0,,Carlos Moya,R,191.0,ESP,27.357,7.0,2280.0,S572,3.0,,Sjeng Schalken,R,193.0,NED,27.324,18.0,1445.0,6-3 6-4,3,SF,60.0,14.0,1.0,45.0,32.0,31.0,9.0,10.0,0.0,0.0,0.0,0.0,56.0,42.0,25.0,11.0,9.0,2.0,4.0,2004,moya,schalken,SF,2004,TATA Open,1.615,2.2,1.667,2.34,,,,,,,0.5839780384327427,0.41602196156725735,0.5766710353866317,,,,-0.3391253256009531,-0.3091224036896504
